,timestamp,fromba,generation_type,Usage (MWh)
337,2024-01-25,BPAT,Wind,0.0
338,2024-01-25,BPAT,Other,0.0
339,2024-01-25,BPAT,Solar,0.0
340,2024-01-25,BANC,Natural gas,3.694484542965842e-07
341,2024-01-25,BANC,Solar,1.5452116114674866e-08
342,2024-01-25,BANC,Other,4.908163594644158e-09
343,2024-01-25,BANC,Hydro,9.879829036334922e-08
344,2024-01-24,BPAT,Solar,0.0
345,2024-01-24,BPAT,Nuclear,0.0
346,2024-01-24,BPAT,Other,0.0
347,2024-01-24,BPAT,Hydro,0.0
348,2024-01-24,BPAT,Natural gas,0.0
349,2024-01-24,BPAT,Wind,0.0
350,2024-01-24,BANC,Other,4.4471953204447526e-08
351,2024-01-24,BANC,Solar,3.096299967729008e-08
352,2024-01-24,BANC,Hydro,8.379137634676685e-07
353,2024-01-24,BANC,Natural gas,4.498840169327336e-06
354,2024-01-24,CISO,Nuclear,inf
355,2024-01-24,CISO,Natural gas,inf
356,2024-01-24,CISO,Petroleum,inf
357,2024-01-24,CISO,Other,-inf
358,2024-01-24,CISO,Solar,inf
359,2024-01-24,CISO,Wind,inf
360,2024-01-24,CISO,Coal,
361,2024-01-24,CISO,Hydro,inf
362,2024-01-24,TIDC,Hydro,0.028724590495470888
363,2024-01-24,TIDC,Natural gas,0.7540950452911337
364,2024-01-23,CISO,Hydro,1.0235888228658683e-26
365,2024-01-23,CISO,Nuclear,1.1177069651219832e-26
366,2024-01-23,CISO,Natural gas,6.44804977354341e-26
367,2024-01-23,CISO,Other,4.92509762560426e-28
368,2024-01-23,CISO,Wind,1.02373289174752e-26
369,2024-01-23,CISO,Coal,0.0
370,2024-01-23,CISO,Solar,1.140511010960552e-26
371,2024-01-23,CISO,Petroleum,2.263939568810985e-28
372,2024-01-23,BPAT,Other,0.0
373,2024-01-23,BPAT,Solar,0.0
374,2024-01-23,BPAT,Nuclear,0.0
375,2024-01-23,BPAT,Wind,0.0
376,2024-01-23,BPAT,Hydro,0.0
377,2024-01-23,BPAT,Natural gas,0.0
378,2024-01-23,TIDC,Natural gas,0.0
379,2024-01-23,TIDC,Hydro,0.0
380,2024-01-23,BANC,Other,4.306068565486557e-08
381,2024-01-23,BANC,Hydro,1.033102532273035e-06
382,2024-01-23,BANC,Natural gas,4.091826907543444e-06
383,2024-01-23,BANC,Solar,8.022264724742078e-08
384,2024-01-22,BANC,Other,4.417336340503512e-08
385,2024-01-22,BANC,Hydro,8.663218116847321e-07
386,2024-01-22,BANC,Natural gas,4.413764370416852e-06
387,2024-01-22,BANC,Solar,3.202866511038935e-08
388,2024-01-22,TIDC,Natural gas,0.1609939485959016
389,2024-01-22,TIDC,Hydro,0.006051404098400267
390,2024-01-22,CISO,Coal,0.0
391,2024-01-22,CISO,Solar,6.889796783000901e-25
392,2024-01-22,CISO,Hydro,2.03215649335291e-24
393,2024-01-22,CISO,Natural gas,1.3497631322327417e-23
394,2024-01-22,CISO,Wind,9.936932518114413e-25
395,2024-01-22,CISO,Nuclear,2.093469399184731e-24
396,2024-01-22,CISO,Petroleum,2.7108787924383686e-26
397,2024-01-22,CISO,Other,7.157028504645252e-26
398,2024-01-22,BPAT,Solar,0.0
399,2024-01-22,BPAT,Hydro,0.0
400,2024-01-22,BPAT,Natural gas,0.0
401,2024-01-22,BPAT,Other,0.0
402,2024-01-22,BPAT,Nuclear,0.0
403,2024-01-22,BPAT,Wind,0.0
404,2024-01-21,CISO,Wind,inf
405,2024-01-21,CISO,Solar,inf
406,2024-01-21,CISO,Petroleum,inf
407,2024-01-21,CISO,Natural gas,inf
408,2024-01-21,CISO,Other,-inf
409,2024-01-21,CISO,Hydro,inf
410,2024-01-21,CISO,Nuclear,inf
411,2024-01-21,CISO,Coal,
412,2024-01-21,BPAT,Hydro,0.0
413,2024-01-21,BPAT,Natural gas,0.0
414,2024-01-21,BPAT,Solar,0.0
415,2024-01-21,BPAT,Nuclear,0.0
416,2024-01-21,BPAT,Other,0.0
417,2024-01-21,BPAT,Wind,0.0
418,2024-01-21,BANC,Hydro,3.729430167822536e-07
419,2024-01-21,BANC,Natural gas,1.6982927463933677e-06
420,2024-01-21,BANC,Solar,2.900731105062519e-08
421,2024-01-21,BANC,Other,2.0930765620843276e-08
422,2024-01-21,TIDC,Natural gas,0.0
423,2024-01-21,TIDC,Hydro,0.0
424,2024-01-20,BANC,Natural gas,4.213549399186762e-06
425,2024-01-20,BANC,Solar,5.055993174120213e-08
426,2024-01-20,BANC,Other,4.0802751931496454e-08
427,2024-01-20,BANC,Hydro,7.874487614605648e-07
428,2024-01-20,BPAT,Wind,0.0
429,2024-01-20,BPAT,Hydro,0.0
430,2024-01-20,BPAT,Other,0.0
431,2024-01-20,BPAT,Natural gas,0.0
432,2024-01-20,BPAT,Solar,0.0
433,2024-01-20,BPAT,Nuclear,0.0
434,2024-01-20,CISO,Petroleum,inf
435,2024-01-20,CISO,Wind,inf
436,2024-01-20,CISO,Coal,
437,2024-01-20,CISO,Natural gas,inf
438,2024-01-20,CISO,Nuclear,inf
439,2024-01-20,CISO,Other,-inf
440,2024-01-20,CISO,Solar,inf
441,2024-01-20,CISO,Hydro,inf
442,2024-01-20,TIDC,Hydro,0.01825765900492956
443,2024-01-20,TIDC,Natural gas,0.42340995070442644
444,2024-01-19,CISO,Other,1.5007805567527326e-26
445,2024-01-19,CISO,Coal,0.0
446,2024-01-19,CISO,Hydro,1.94432024440942e-25
447,2024-01-19,CISO,Petroleum,4.4792152869830136e-27
448,2024-01-19,CISO,Wind,3.135044974865738e-26
449,2024-01-19,CISO,Natural gas,1.5284429569580316e-24
450,2024-01-19,CISO,Solar,1.699383444703655e-25
451,2024-01-19,CISO,Nuclear,2.2067844082816404e-25
452,2024-01-19,BPAT,Nuclear,0.0
453,2024-01-19,BPAT,Solar,0.0
454,2024-01-19,BPAT,Wind,0.0
455,2024-01-19,BPAT,Natural gas,0.0
456,2024-01-19,BPAT,Hydro,0.0
457,2024-01-19,BPAT,Other,0.0
458,2024-01-19,TIDC,Natural gas,0.627977828650603
459,2024-01-19,TIDC,Hydro,0.022171349397012114
460,2024-01-19,BANC,Other,4.4835891603034784e-08
461,2024-01-19,BANC,Solar,6.506077748918634e-08
462,2024-01-19,BANC,Natural gas,4.761864096231009e-06
463,2024-01-19,BANC,Hydro,8.350684811065229e-07
464,2024-01-18,BANC,Natural gas,4.4672551484870735e-06
465,2024-01-18,BANC,Other,4.4780266179193665e-08
466,2024-01-18,BANC,Solar,7.116431490098886e-08
467,2024-01-18,BANC,Hydro,8.243199809364542e-07
468,2024-01-18,CISO,Nuclear,2.043084177320199e-25
469,2024-01-18,CISO,Hydro,1.58225844401658e-25
470,2024-01-18,CISO,Petroleum,9.534843292531704e-28
471,2024-01-18,CISO,Coal,0.0
472,2024-01-18,CISO,Other,1.2579236170580214e-26
473,2024-01-18,CISO,Wind,6.303507423944582e-26
474,2024-01-18,CISO,Natural gas,1.323188493232807e-24
475,2024-01-18,CISO,Solar,2.483075902642105e-25
476,2024-01-18,BPAT,Other,0.0
477,2024-01-18,BPAT,Hydro,0.0
478,2024-01-18,BPAT,Natural gas,0.0
479,2024-01-18,BPAT,Nuclear,0.0
480,2024-01-18,BPAT,Solar,0.0
481,2024-01-18,BPAT,Wind,0.0
482,2024-01-18,TIDC,Hydro,0.004089666960917518
483,2024-01-18,TIDC,Natural gas,0.10333039082482043
484,2024-01-17,BANC,Other,4.432841184460118e-08
485,2024-01-17,BANC,Natural gas,4.7587077834367995e-06
486,2024-01-17,BANC,Solar,1.0765471447974571e-07
487,2024-01-17,BANC,Hydro,1.0173106658741658e-06
488,2024-01-17,CISO,Solar,inf
489,2024-01-17,CISO,Petroleum,-inf
490,2024-01-17,CISO,Hydro,inf
491,2024-01-17,CISO,Nuclear,inf
492,2024-01-17,CISO,Coal,
493,2024-01-17,CISO,Wind,inf
494,2024-01-17,CISO,Natural gas,inf
495,2024-01-17,CISO,Other,-inf
496,2024-01-17,BPAT,Solar,0.0
497,2024-01-17,BPAT,Nuclear,0.0
498,2024-01-17,BPAT,Natural gas,0.0
499,2024-01-17,BPAT,Other,0.0
500,2024-01-17,BPAT,Hydro,0.0
501,2024-01-17,BPAT,Wind,0.0
502,2024-01-17,TIDC,Natural gas,0.0
503,2024-01-17,TIDC,Hydro,0.0
504,2024-01-16,BPAT,Other,0.0
505,2024-01-16,BPAT,Hydro,0.0
506,2024-01-16,BPAT,Wind,0.0
507,2024-01-16,BPAT,Natural gas,0.0
508,2024-01-16,BPAT,Nuclear,0.0
509,2024-01-16,BPAT,Solar,0.0
510,2024-01-16,CISO,Solar,inf
511,2024-01-16,CISO,Other,inf
512,2024-01-16,CISO,Natural gas,inf
513,2024-01-16,CISO,Nuclear,inf
514,2024-01-16,CISO,Coal,
515,2024-01-16,CISO,Wind,inf
516,2024-01-16,CISO,Petroleum,-inf
517,2024-01-16,CISO,Hydro,inf
518,2024-01-16,TIDC,Hydro,0.0
519,2024-01-16,TIDC,Natural gas,0.0
