,period,respondent,respondent-name,fueltype,type-name,timezone,timezone-description,Generation (MWh),value-units,timestamp
90,2024-01-20,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,368,megawatthours,2024-01-20
91,2024-01-20,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7102,megawatthours,2024-01-20
92,2024-01-19,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6854,megawatthours,2024-01-19
93,2024-01-19,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,368,megawatthours,2024-01-19
94,2024-01-19,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,534,megawatthours,2024-01-19
95,2024-01-19,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,39084,megawatthours,2024-01-19
96,2024-01-18,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,36911,megawatthours,2024-01-18
97,2024-01-18,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,370,megawatthours,2024-01-18
98,2024-01-18,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,588,megawatthours,2024-01-18
99,2024-01-18,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6811,megawatthours,2024-01-18
100,2024-01-17,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,336,megawatthours,2024-01-17
101,2024-01-17,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,36070,megawatthours,2024-01-17
102,2024-01-17,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,816,megawatthours,2024-01-17
103,2024-01-17,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7711,megawatthours,2024-01-17
104,2024-01-16,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,242,megawatthours,2024-01-16
105,2024-01-16,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,40986,megawatthours,2024-01-16
106,2024-01-16,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,313,megawatthours,2024-01-16
107,2024-01-16,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7762,megawatthours,2024-01-16
108,2024-01-15,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,39361,megawatthours,2024-01-15
109,2024-01-15,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,495,megawatthours,2024-01-15
110,2024-01-15,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,309,megawatthours,2024-01-15
111,2024-01-15,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7980,megawatthours,2024-01-15
112,2024-01-14,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,6611,megawatthours,2024-01-14
113,2024-01-14,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,37984,megawatthours,2024-01-14
114,2024-01-14,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,305,megawatthours,2024-01-14
115,2024-01-14,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,657,megawatthours,2024-01-14
116,2024-01-13,BANC,Balancing Authority of Northern California,OTH,Other,Pacific,Pacific,305,megawatthours,2024-01-13
117,2024-01-13,BANC,Balancing Authority of Northern California,SUN,Solar,Pacific,Pacific,138,megawatthours,2024-01-13
118,2024-01-13,BANC,Balancing Authority of Northern California,NG,Natural gas,Pacific,Pacific,40371,megawatthours,2024-01-13
119,2024-01-13,BANC,Balancing Authority of Northern California,WAT,Hydro,Pacific,Pacific,7518,megawatthours,2024-01-13
