,timestamp,fromba,Power consumed locally (MWh)
380,2023-06-19,TIDC,4624
381,2023-06-20,BPAT,4574
382,2023-06-20,CISO,0
383,2023-06-20,TIDC,7289
384,2023-06-21,BPAT,0
385,2023-06-21,CISO,0
386,2023-06-21,TIDC,8039
387,2023-06-22,BPAT,0
388,2023-06-22,CISO,0
389,2023-06-22,TIDC,7188
390,2023-06-23,BPAT,0
391,2023-06-23,CISO,0
392,2023-06-23,TIDC,6911
393,2023-06-24,BPAT,2629
394,2023-06-24,CISO,0
395,2023-06-24,TIDC,4747
396,2023-06-25,BPAT,0
397,2023-06-25,CISO,0
398,2023-06-25,TIDC,5385
399,2023-06-26,BPAT,835
400,2023-06-26,CISO,0
401,2023-06-26,TIDC,6616
402,2023-06-27,BPAT,1853
403,2023-06-27,CISO,0
404,2023-06-27,TIDC,6974
405,2023-06-28,BPAT,0
406,2023-06-28,CISO,0
407,2023-06-28,TIDC,8412
408,2023-06-29,BPAT,0
409,2023-06-29,CISO,0
410,2023-06-29,TIDC,7972
411,2023-06-30,BPAT,4012
412,2023-06-30,CISO,432
413,2023-06-30,TIDC,5190
414,2023-07-01,BPAT,12633
415,2023-07-01,CISO,0
416,2023-07-01,TIDC,4094
417,2023-07-02,BPAT,0
418,2023-07-02,CISO,6208
419,2023-07-02,TIDC,6398
420,2023-07-03,BPAT,0
421,2023-07-03,CISO,9887
422,2023-07-03,TIDC,4125
423,2023-07-04,BPAT,0
424,2023-07-04,CISO,5680
425,2023-07-04,TIDC,5530
426,2023-07-05,BPAT,0
427,2023-07-05,CISO,10541
428,2023-07-05,TIDC,5200
429,2023-07-06,BPAT,0
430,2023-07-06,CISO,6098
431,2023-07-06,TIDC,6976
432,2023-07-07,BPAT,0
433,2023-07-07,CISO,1175
434,2023-07-07,TIDC,6066
435,2023-07-08,BPAT,0
436,2023-07-08,CISO,2112
437,2023-07-08,TIDC,6756
438,2023-07-09,BPAT,0
439,2023-07-09,CISO,1360
440,2023-07-09,TIDC,6669
441,2023-07-10,BPAT,8866
442,2023-07-10,CISO,0
443,2023-07-10,TIDC,3000
444,2023-07-11,BPAT,12754
445,2023-07-11,CISO,0
446,2023-07-11,TIDC,3392
447,2023-07-12,BPAT,12619
448,2023-07-12,CISO,0
449,2023-07-12,TIDC,3785
450,2023-07-13,BPAT,6236
451,2023-07-13,CISO,0
452,2023-07-13,TIDC,5297
453,2023-07-14,BPAT,0
454,2023-07-14,CISO,4883
455,2023-07-14,TIDC,4704
456,2023-07-15,BPAT,0
457,2023-07-15,CISO,4540
458,2023-07-15,TIDC,5017
459,2023-07-16,BPAT,922
460,2023-07-16,CISO,2327
461,2023-07-16,TIDC,4476
462,2023-07-17,BPAT,11887
463,2023-07-17,CISO,269
464,2023-07-17,TIDC,1067
465,2023-07-18,BPAT,0
466,2023-07-18,CISO,5285
467,2023-07-18,TIDC,2427
468,2023-07-19,BPAT,0
469,2023-07-19,CISO,7150
470,2023-07-19,TIDC,2416
471,2023-07-20,BPAT,0
472,2023-07-20,CISO,5838
473,2023-07-20,TIDC,3049
474,2023-07-21,BPAT,6254
475,2023-07-21,CISO,1482
476,2023-07-21,TIDC,2226
477,2023-07-22,BPAT,4978
478,2023-07-22,CISO,1694
479,2023-07-22,TIDC,2327
480,2023-07-23,BPAT,2721
481,2023-07-23,CISO,11
482,2023-07-23,TIDC,1340
483,2023-07-24,BPAT,8559
484,2023-07-24,CISO,0
485,2023-07-24,TIDC,0
486,2023-07-25,BPAT,8897
487,2023-07-25,CISO,0
488,2023-07-25,TIDC,0
489,2023-07-26,BPAT,1660
490,2023-07-26,CISO,0
491,2023-07-26,TIDC,1504
492,2023-07-27,BPAT,3242
493,2023-07-27,CISO,0
494,2023-07-27,TIDC,287
495,2023-07-28,BPAT,529
496,2023-07-28,CISO,0
497,2023-07-28,TIDC,0
498,2023-07-29,BPAT,3869
499,2023-07-29,CISO,219
500,2023-07-29,TIDC,0
501,2023-07-30,BPAT,6141
502,2023-07-30,CISO,0
503,2023-07-30,TIDC,555
504,2023-07-31,BPAT,0
